origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
w82608018,SP7_CHOJNICE,14.4632725,238.1854573,19.9707363,272.6194661
w66723585,SP1_CHOJNICE,14.9697002,234.5638024,24.32211,273.8556126
w82616473,SP7_CHOJNICE,12.0577295,242.9548798,19.9707363,274.9833455
w66723505,SP1_CHOJNICE,13.9562395,237.3476402,24.32211,275.6259897
w69613592,SP7_CHOJNICE,13.3796655,242.6544394,19.9707363,276.0048412
w82620292,SP7_CHOJNICE,32.0914406,224.0160332,19.9707363,276.07821
w71241387,SP7_CHOJNICE,13.9686602,243.6415789,19.9707363,277.5809754
w814770544,SP7_CHOJNICE,20.7528562,236.9184996,19.9707363,277.642092
w814770541,SP7_CHOJNICE,11.9154314,246.1002962,19.9707363,277.9864639
w71269631,SP7_CHOJNICE,13.6117651,244.7463958,19.9707363,278.3288971
w66869321,SP1_CHOJNICE,39.4880592,214.768854,24.32211,278.5790232
w66869310,SP1_CHOJNICE,24.394066,230.6904636,24.32211,279.4066396
w81112074,SP7_CHOJNICE,15.2816957,245.5297804,19.9707363,280.7822123
w82608043,SP7_CHOJNICE,16.5361138,244.4841222,19.9707363,280.9909723
w82610539,SP7_CHOJNICE,16.5875439,246.0835244,19.9707363,282.6418046
w82616465,SP7_CHOJNICE,16.1329855,246.9506347,19.9707363,283.0543565
w544200223,SP1_CHOJNICE,0.1080826,260.0214054,24.32211,284.4515979
w69613583,SP7_CHOJNICE,16.35756,248.8179288,19.9707363,285.1462251
w81112040,SP7_CHOJNICE,15.6342228,250.55936,19.9707363,286.1643191
w82608041,SP7_CHOJNICE,16.065319,250.2986341,19.9707363,286.3346893
w69619936,SP7_CHOJNICE,20.2833948,246.5306982,19.9707363,286.7848293
w81112036,SP7_CHOJNICE,15.3492329,251.9193561,19.9707363,287.2393253
w544200222,SP1_CHOJNICE,0.3577333,263.2574123,24.32211,287.9372556
w66723590,SP1_CHOJNICE,15.2993967,249.3002275,24.32211,288.9217342
w82608038,SP7_CHOJNICE,13.5867359,255.4492117,19.9707363,289.0066839
w66869309,SP1_CHOJNICE,19.2783438,245.6009671,24.32211,289.2014209
w82608044,SP7_CHOJNICE,29.6676149,239.816828,19.9707363,289.4551791
w82620286,SP7_CHOJNICE,17.0958029,253.7848232,19.9707363,290.8513624
w81112058,SP7_CHOJNICE,36.8784139,234.5960316,19.9707363,291.4451817
